Term,Definition,Domain
"Confidentiality","Ensuring information is not disclosed to unauthorised individuals, processes or devices","D1 Security Principles"
"Integrity","Ensuring information is not modified or destroyed in an unauthorised or undetected manner","D1 Security Principles"
"Availability","Ensuring authorised users have timely and reliable access to information and systems","D1 Security Principles"
"Disclosure","Information seen by someone unauthorised. The failure of confidentiality","D1 Security Principles"
"Alteration","Information changed without authorisation. The failure of integrity","D1 Security Principles"
"Destruction","Information or access lost. The failure of availability","D1 Security Principles"
"DAD triad","Disclosure, Alteration, Destruction — the mirror image of CIA","D1 Security Principles"
"Sensitivity","How much harm disclosure would cause. Drives confidentiality","D1 Security Principles"
"Criticality","How badly the organisation is hurt if it is unavailable. Drives availability","D1 Security Principles"
"Authenticity","Information is genuine and from the claimed source","D1 Security Principles"
"Identification","Claiming an identity. Unverified — a username, a badge presented","D1 Security Principles"
"Authentication","Proving the claimed identity with one or more factors","D1 Security Principles"
"Authorisation","Granting or denying a proven identity the right to access a resource","D1 Security Principles"
"Accounting","Recording what an authenticated identity did. Also called auditing","D1 Security Principles"
"Accountability","Being able to trace an action to a specific individual and hold them responsible","D1 Security Principles"
"Factor","A category of proof: knowledge, possession, or inherence","D1 Security Principles"
"Something you know","A knowledge factor — password, PIN, passphrase, security question","D1 Security Principles"
"Something you have","A possession factor — token, smart card, phone, certificate","D1 Security Principles"
"Something you are","An inherence factor — fingerprint, iris, face, voice","D1 Security Principles"
"MFA","Authentication using credentials from two or more different factors","D1 Security Principles"
"Biometrics","Authentication using a measurable physical or behavioural characteristic","D1 Security Principles"
"FAR — False Acceptance Rate","How often an impostor is wrongly accepted. The security risk","D1 Security Principles"
"FRR — False Rejection Rate","How often a legitimate user is wrongly rejected. The usability cost","D1 Security Principles"
"CER — Crossover Error Rate","The point where FAR and FRR are equal. Lower is better","D1 Security Principles"
"OTP","One-time password, valid for a single use or short window","D1 Security Principles"
"Permission","A right over a specific resource — read, write, execute","D1 Security Principles"
"Privilege","A system-level right, such as installing software","D1 Security Principles"
"Least privilege","Granting only the access a role requires, and no more","D1 Security Principles"
"Privilege creep","Access accumulating as someone changes roles. An administrative failure","D1 Security Principles"
"Audit trail","The chronological record produced by accounting","D1 Security Principles"
"Repudiation","Denying having performed an action","D1 Security Principles"
"Non-repudiation","Assurance that someone cannot successfully deny having performed an action. Not part of the CIA triad","D1 Security Principles"
"Digital signature","A value created with the signer's private key, proving origin and integrity","D1 Security Principles"
"Private key","Held by exactly one party, never shared. Signs and decrypts","D1 Security Principles"
"Public key","Distributed freely. Verifies and encrypts","D1 Security Principles"
"Certificate","A document binding a public key to a verified identity","D1 Security Principles"
"Privacy","The right of an individual to control collection, use and disclosure of information about them","D1 Security Principles"
"PII","Information identifying a specific individual, alone or in combination","D1 Security Principles"
"PHI","Health information tied to an identifiable individual","D1 Security Principles"
"Data subject","The living person the data is about","D1 Security Principles"
"Data owner","Accountable for a data set — classification and access. A business role","D1 Security Principles"
"Data custodian","Implements protection day to day — storage, backups, access. Usually IT","D1 Security Principles"
"Data controller","Decides why and how personal data is processed","D1 Security Principles"
"Data processor","Processes personal data on the controller's instructions","D1 Security Principles"
"Consent","The data subject's permission for a stated use","D1 Security Principles"
"Data minimisation","Collecting only what is necessary for the stated purpose","D1 Security Principles"
"Purpose limitation","Using data only for the purpose it was collected for","D1 Security Principles"
"Anonymisation","Identifiers removed irreversibly. No longer personal data","D1 Security Principles"
"Pseudonymisation","Identifiers replaced by a reversible token. Still personal data","D1 Security Principles"
"GDPR","EU personal data regulation. 72-hour breach notification. Applies by whose data, not company location","D1 Security Principles"
"HIPAA","US protected health information","D1 Security Principles"
"PCI DSS","Cardholder data. An industry standard enforced by contract, not a law","D1 Security Principles"
"SOX","US financial reporting integrity for public companies","D1 Security Principles"
